host_name,host_since,neighbourhood,property_type,room_type,price
Feng,2016-05-23,,Entire rental unit,Entire home/apt,"$27,286.00"
Feng,2016-05-23,,Entire rental unit,Entire home/apt,"$33,250.00"
Feng,2016-05-23,,Entire rental unit,Entire home/apt,"$23,071.00"
Feng,2016-05-23,,Entire rental unit,Entire home/apt,"$9,364.00"
都筑,2018-01-29,"Edogawa-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$18,711.00"
Waves Nakameguro,2018-03-15,"目黒区, Tokyo, Japan",Private room in ryokan,Private room,"$23,830.00"
Toshiro & Tanya,2015-05-30,,Entire rental unit,Entire home/apt,"$16,830.00"
Daichi,2018-03-24,"Shibuyaku, Tokyo Prefecture, Japan",Private room in rental unit,Private room,"$15,132.00"
Takada,2018-04-06,"Suginami-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$13,177.00"
UI Home Company,2018-04-12,"Nerima-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$21,883.00"
Tanaka,2017-05-04,"Ōta-ku, Tōkyō-to, Japan",Private room in home,Private room,"$7,200.00"
弘樹,2017-01-18,"Shinjuku, Tokyo Prefecture, Japan",Private room in home,Private room,
Shin,2016-08-24,"Katsushika-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$20,900.00"
Momo,2015-03-13,,Entire rental unit,Entire home/apt,"$24,454.00"
Dash Living,2017-11-19,"Chuo Ku, Tokyo To, Japan",Entire rental unit,Entire home/apt,"$39,270.00"
Dash Living,2017-11-19,"Chuo City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$39,270.00"
Maiko,2016-08-25,"Adachi-ku, Tōkyō-to, Japan",Private room in condo,Private room,"$6,175.00"
武瑠,2015-10-09,"墨田区, Tokyo, Japan",Hut,Entire home/apt,
定森,2018-05-13,,Entire rental unit,Entire home/apt,"$23,941.00"
Qcqc,2011-07-03,"Shibuya, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$44,000.00"
Robert,2013-01-25,"Setagaya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$9,301.00"
Robert,2013-01-25,,Entire rental unit,Entire home/apt,"$9,301.00"
Robert,2013-01-25,,Entire rental unit,Entire home/apt,
Robert,2013-01-25,,Entire rental unit,Entire home/apt,"$7,821.00"
Robert,2013-01-25,,Entire rental unit,Entire home/apt,"$9,414.00"
Robert,2013-01-25,,Entire rental unit,Entire home/apt,"$9,301.00"
Robert,2013-01-25,,Entire rental unit,Entire home/apt,"$9,301.00"
Robert,2013-01-25,,Entire rental unit,Entire home/apt,"$12,785.00"
Robert,2013-01-25,"Setagaya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$8,256.00"
Qcqc,2011-07-03,"Shibuya, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$35,286.00"
Qcqc,2011-07-03,"Shibuya, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$44,000.00"
Aileen,2015-08-10,"Sumida, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$13,560.00"
La Krasse 墨田,2018-05-07,"墨田区, Tokyo, Japan",Entire villa,Entire home/apt,"$25,200.00"
Miyoko,2015-01-20,"Komae-shi, Tōkyō-to, Japan",Private room in rental unit,Private room,"$6,650.00"
Robert,2013-01-25,"Setagaya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$9,301.00"
Robert,2013-01-25,"Setagaya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$18,866.00"
Robert,2013-01-25,"Setagaya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$9,301.00"
Robert,2013-01-25,"Setagaya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$9,928.00"
Robert,2013-01-25,"Setagaya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$12,785.00"
Robert,2013-01-25,"Setagaya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$12,785.00"
Weollim,2018-03-13,"Shinjuku-ku, Tōkyō-to, Japan",Room in hostel,Hotel room,"$9,129.00"
Yadoya,2018-03-05,"Taitō-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,
Leo,2018-04-16,"板橋区双葉町, Tokyo, Japan",Private room in home,Private room,"$6,299.00"
Tomonari,2018-05-16,"Bunkyō-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$15,494.00"
Max,2016-10-04,"Toshima, Tokyo Prefecture, Japan",Room in aparthotel,Entire home/apt,"$16,774.00"
Robert,2013-01-25,"Setagaya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$15,675.00"
Aileen,2015-08-10,"中野区, Tokyo, Japan",Entire rental unit,Entire home/apt,"$26,343.00"
Maiko,2016-08-25,"Kōhoku Adachi-ku, Tōkyō-to, Japan",Private room in condo,Private room,"$6,175.00"
Hikari,2015-12-23,"Nakano-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$16,000.00"
Nana & Yuta,2017-03-06,"Arakawa-ku, Tōkyō-to, Japan",Room in hostel,Hotel room,"$16,286.00"
Keiko,2018-05-03,"Kita-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$38,000.00"
Weollim,2018-03-13,"Shinjuku-ku, Tōkyō-to, Japan",Room in hostel,Hotel room,
Weollim,2018-03-13,"Shinjuku-ku, Tōkyō-to, Japan",Room in hostel,Hotel room,"$10,000.00"
Max,2016-10-04,"Toshima, Tokyo Prefecture, Japan",Room in hotel,Private room,"$13,517.00"
Max,2016-10-04,"Toshima, Tokyo Prefecture, Japan",Private room in serviced apartment,Private room,"$13,923.00"
Max,2016-10-04,"Toshima, Tokyo Prefecture, Japan",Room in hotel,Private room,
Max,2016-10-04,"Toshima, Tokyo Prefecture, Japan",Room in aparthotel,Entire home/apt,"$13,378.00"
Max,2016-10-04,"Toshima, Tokyo Prefecture, Japan",Private room in serviced apartment,Private room,"$17,084.00"
Maiko,2016-08-25,"Kōhoku Adachi-ku, Tōkyō-to, Japan",Private room in condo,Private room,"$6,175.00"
Maiko,2016-08-25,"Kōhoku Adachi-ku, Tōkyō-to, Japan",Private room in condo,Private room,"$6,175.00"
Maiko,2016-08-25,"Kōhoku Adachi-ku, Tōkyō-to, Japan",Private room in condo,Private room,"$6,175.00"
Eric,2023-06-05,"Shinjuku City, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$38,714.00"
Eric,2023-06-05,"Shinjuku City, Tōkyō-to, Japan",Entire condo,Entire home/apt,"$29,514.00"
Gou,2016-07-04,,Entire condo,Entire home/apt,"$7,143.00"
松,2016-09-12,"Toshima-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$89,664.00"
Aoca,2018-05-23,"Setagaya, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$18,168.00"
Aoca,2018-05-23,"Setagaya, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,
Aoca,2018-05-23,"Setagaya, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,
Aoca,2018-05-23,"Setagaya, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$18,168.00"
Aoca,2018-05-23,"Setagaya, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$17,311.00"
Aoca,2018-05-23,"Setagaya, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$17,311.00"
Aoca,2018-05-23,"Setagaya, Tokyo Prefecture, Japan",Entire loft,Entire home/apt,"$28,803.00"
Weollim,2018-03-13,"Shinjuku-ku, Tōkyō-to, Japan",Room in hostel,Hotel room,"$4,143.00"
Miko,2011-09-14,"Shinjuku, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,
Charles Family,2017-05-23,"Sumida-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$19,733.00"
Kaneda,2018-05-08,,Private room in home,Private room,"$6,660.00"
Leo,2018-04-16,"板橋区双葉町, Tokyo, Japan",Private room in home,Private room,"$6,299.00"
鄭,2016-10-04,"Toshima-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$13,784.00"
元春,2018-06-12,"Sumida, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$38,000.00"
Guesthouse,2015-04-08,"Kanamachi, Tokyo Prefecture, Japan",Private room in home,Private room,"$5,399.00"
Kiyoshi,2016-07-21,,Private room in ryokan,Private room,"$20,751.00"
Weollim,2018-03-13,"Shinjuku-ku, Tōkyō-to, Japan",Room in hostel,Hotel room,"$4,143.00"
Weollim,2018-03-13,"Shinjuku-ku, Tōkyō-to, Japan",Room in hostel,Hotel room,"$4,143.00"
Weollim,2018-03-13,"Shinjuku-ku, Tōkyō-to, Japan",Room in hostel,Hotel room,"$4,143.00"
Weollim,2018-03-13,"Shinjuku-ku, Tōkyō-to, Japan",Room in hostel,Hotel room,
Weollim,2018-03-13,"Shinjuku-ku, Tōkyō-to, Japan",Room in hostel,Hotel room,"$3,729.00"
Weollim,2018-03-13,"Shinjuku-ku, Tōkyō-to, Japan",Room in hostel,Hotel room,"$3,729.00"
Weollim,2018-03-13,"Shinjuku-ku, Tōkyō-to, Japan",Room in hostel,Hotel room,"$4,143.00"
Haruka,2017-07-31,"Shibuya-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$53,820.00"
Odamura Kimiko,2014-01-08,"Machida-shi, Tōkyō-to, Japan",Private room in home,Private room,
La Krasse 墨田,2018-05-07,"墨田区, Tokyo, Japan",Entire villa,Entire home/apt,"$14,071.00"
T-Home,2018-06-13,"Sumida-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$24,857.00"
La Krasse 墨田,2018-05-07,"墨田区, Tokyo, Japan",Entire villa,Entire home/apt,"$25,200.00"
Ray,2014-05-02,"Sumida-ku, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$25,481.00"
La Krasse 墨田,2018-05-07,"墨田区, Tokyo, Japan",Entire villa,Entire home/apt,"$37,800.00"
Maki Nicestaytokyo,2015-11-11,"Toshima-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$25,090.00"
Weollim,2018-03-13,"Shinjuku-ku, Tōkyō-to, Japan",Room in hostel,Hotel room,"$4,143.00"
Weollim,2018-03-13,"Shinjuku-ku, Tōkyō-to, Japan",Room in hostel,Hotel room,"$7,786.00"
Weollim,2018-03-13,"Shinjuku-ku, Tōkyō-to, Japan",Room in hostel,Hotel room,"$4,214.00"
Hotel Vintage,2015-08-01,"中央区, Tokyo, Japan",Room in boutique hotel,Private room,
Maiko,2016-08-25,"Kōhoku Adachi-ku, Tōkyō-to, Japan",Private room in condo,Private room,"$6,175.00"
T-Home,2018-06-13,"Sumida-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$21,143.00"
T-Home,2018-06-13,"Sumida-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$35,714.00"
奕任,2018-06-14,"Toshima-ku, Tōkyō-to, Japan",Entire condo,Entire home/apt,"$25,714.00"
Kiyoshi,2016-07-21,,Private room in ryokan,Private room,"$25,426.00"
Kiyoshi,2016-07-21,,Private room in ryokan,Private room,"$23,492.00"
Weollim,2018-03-13,"Shinjuku-ku, Tōkyō-to, Japan",Room in hostel,Hotel room,"$35,071.00"
Kiyoshi,2016-07-21,,Private room in ryokan,Private room,"$26,378.00"
Kiyoshi,2016-07-21,,Private room in ryokan,Private room,"$23,708.00"
Maiko,2016-08-25,"Adachi-ku, Tōkyō-to, Japan",Private room in rental unit,Private room,"$5,524.00"
Maiko,2016-08-25,"Adachi-ku, Tōkyō-to, Japan",Private room in rental unit,Private room,"$6,012.00"
Studio-R,2018-05-26,"杉並区, Tokyo, Japan",Private room in home,Private room,"$10,286.00"
Robert,2013-01-25,"Setagaya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$6,741.00"
Weollim,2018-03-13,"Shinjuku-ku, Tōkyō-to, Japan",Private room in hostel,Private room,
Kiyoshi,2016-07-21,,Private room in ryokan,Private room,"$35,720.00"
Kiyoshi,2016-07-21,,Private room in ryokan,Private room,"$28,389.00"
Yuka,2015-05-22,,Private room in hut,Private room,"$17,946.00"
Joel Yao,2016-03-17,"Minato-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$46,514.00"
Masami,2018-06-19,"Koganei-shi, Tōkyō-to, Japan",Private room in home,Private room,
Kagaribi,2018-06-19,"足立区千住柳町, Tokyo, Japan",Room in hostel,Hotel room,
佳美,2016-07-29,"Shinjuku-ku, Tōkyō-to, Japan",Entire guesthouse,Entire home/apt,"$50,893.00"
Shinjuku,2018-06-21,"Shinjuku, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$29,714.00"
Weollim,2018-03-13,"Shinjuku-ku, Tōkyō-to, Japan",Room in hostel,Hotel room,"$21,929.00"
Weollim,2018-03-13,"Shinjuku-ku, Tōkyō-to, Japan",Room in hostel,Hotel room,"$6,186.00"
Weollim,2018-03-13,"Shinjuku-ku, Tōkyō-to, Japan",Room in hostel,Hotel room,"$35,071.00"
Mie,2015-08-29,,Entire rental unit,Entire home/apt,"$14,250.00"
Deko,2017-06-08,"Minato-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$12,500.00"
Web,2018-05-30,"台東区, Tokyo, Japan",Room in hotel,Hotel room,"$19,461.00"
Rena,2014-06-15,"Shibuya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$9,714.00"
Norimasa,2016-06-16,"Nakano, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$9,857.00"
Yash,2013-08-26,,Entire rental unit,Entire home/apt,"$24,514.00"
Isa And Yumi,2018-06-08,"Taito City, Tokyo Prefecture, Japan",Shared room in hut,Shared room,"$10,713.00"
冰儿,2016-11-25,"Chiyoda-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,
Heyao,2018-06-22,,Entire home,Entire home/apt,"$41,516.00"
Norimasa,2016-06-16,"Nakano, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$11,000.00"
Ikuko,2015-01-09,"Itabashi, Tokyo Prefecture, Japan",Private room in rental unit,Private room,"$18,976.00"
Yadoya,2018-03-05,"Taitō-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$40,958.00"
Masa,2017-11-16,"Shibuya, Tokyo, Japan",Entire rental unit,Entire home/apt,"$48,500.00"
Liyan,2018-06-03,"北区, Kita City, Tokyo Prefecture, Japan",Private room in condo,Private room,"$7,070.00"
Hiro.,2015-10-24,"Toshima-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$34,000.00"
Max Masaking,2015-07-19,"Akiruno, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$7,614.00"
Chisato,2017-04-25,"Taitō-ku, Tōkyō-to, Japan",Shared room in hostel,Shared room,"$5,068.00"
Tomoko,2015-08-01,"Ōta-ku, Tōkyō-to, Japan",Private room in hut,Private room,"$10,443.00"
Letitia,2014-04-08,"Shinjuku City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$29,999.00"
Kentaro & Family,2015-12-07,"Taitō-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$29,566.00"
Web,2018-05-30,"Taitō-ku, Tōkyō-to, Japan",Room in hotel,Hotel room,"$18,376.00"
Tak,2018-06-04,"Tokyo Prefecture, Japan",Shared room in hostel,Shared room,"$2,600.00"
Tak,2018-06-04,"Tokyo Prefecture, Japan",Shared room in hostel,Shared room,
Etao,2018-01-23,"Chūō-ku, Tōkyō-to, Japan",Room in boutique hotel,Private room,
Yuka,2015-05-22,,Private room in home,Private room,
Toori,2017-07-05,,Entire home,Entire home/apt,"$62,857.00"
Yuki & Sosuke,2018-06-03,"Meguro-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$13,400.00"
Obi,2017-07-23,"中央区, Tokyo, Japan",Room in hostel,Hotel room,
Obi,2017-07-23,"中央区, Tokyo, Japan",Room in hostel,Hotel room,
Satoshi,2018-02-23,,Room in hostel,Hotel room,"$3,000.00"
Yadoya,2018-03-05,"Taitō-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$28,794.00"
Anon,2016-02-09,"Shibuya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$13,500.00"
Anon,2016-02-09,"Shibuya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$13,500.00"
Yuki,2018-03-22,"Nakano-ku, Tōkyō-to, Japan",Room in aparthotel,Hotel room,"$29,314.00"
Yuka,2015-05-22,"Ōta-ku, Tōkyō-to, Japan",Shared room in hut,Shared room,"$3,227.00"
Anon,2016-02-09,"Shibuya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$13,500.00"
Anon,2016-02-09,"Shibuya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$25,829.00"
Yuki,2018-03-22,"Nakano-ku, Tōkyō-to, Japan",Room in aparthotel,Hotel room,"$33,250.00"
Satoshi,2018-02-23,,Shared room in hostel,Shared room,
Satoshi,2018-02-23,,Shared room in hostel,Shared room,
Letitia,2014-04-08,"Shinjuku-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$15,600.00"
Insta-Homes,2015-03-05,"Nerima-ku, Tōkyō-to, Japan",Private room in home,Private room,"$10,500.00"
Mizuki,2014-08-23,"Shinjuku-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$55,000.00"
Miki,2018-06-08,"Edogawa, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$21,730.00"
Insta-Homes,2015-03-05,"Nerima, Tokyo Prefecture, Japan",Private room in home,Private room,"$9,975.00"
Yoko,2015-06-21,"Suginami-ku, Tōkyō-to, Japan",Private room in home,Private room,"$12,687.00"
Itoe,2018-06-28,"台東区, Tokyo, Japan",Entire rental unit,Entire home/apt,"$43,800.00"
Kumina,2017-05-24,,Entire rental unit,Entire home/apt,"$11,060.00"
一居,2018-06-29,"中央区, Tokyo, Japan",Entire rental unit,Entire home/apt,"$25,429.00"
一居,2018-06-29,"Chūō, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$26,571.00"
一居,2018-06-29,"Chūō, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$26,714.00"
Yamamoto,2018-06-29,"Toshima-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$100,000.00"
一居,2018-06-29,"Chūō, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$26,714.00"
Kunio & Hiro,2016-12-09,"Minato-ku, Tōkyō-to, Japan",Entire guest suite,Entire home/apt,"$11,640.00"
Isa And Yumi,2018-06-08,,Private room in hut,Private room,"$37,729.00"
Iroha,2018-06-10,,Entire rental unit,Entire home/apt,"$12,031.00"
俊行 Toshiyuki,2016-07-26,"Ōta-ku, Tōkyō-to, Japan",Shared room in hostel,Shared room,"$6,043.00"
Ueno Family,2018-06-10,"台東区, Tokyo, Japan",Entire home,Entire home/apt,"$71,429.00"
俊行 Toshiyuki,2016-07-26,"大田区, Tokyo, Japan",Shared room in hostel,Shared room,"$6,557.00"
Kura,2018-06-11,"Taitō-ku, Tōkyō-to, Japan",Room in hostel,Hotel room,
Kumina,2017-05-24,"Setagaya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$12,578.00"
Kumina,2017-05-24,"Setagaya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,
Kumina,2017-05-24,"Setagaya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$11,494.00"
Kumina,2017-05-24,"Setagaya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$10,450.00"
Kumina,2017-05-24,"Setagaya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$10,260.00"
Kumina,2017-05-24,"Setagaya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$11,210.00"
UI Home Company,2018-04-12,"Sumida-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$33,075.00"
Christian,2015-10-22,"Sumida-ku, Tokyo Prefecture, Japan",Entire loft,Entire home/apt,"$20,215.00"
Yuri,2018-06-12,"Shibuya-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$44,379.00"
俊行 Toshiyuki,2016-07-26,"Ōta-ku, Tōkyō-to, Japan",Shared room in hostel,Shared room,"$18,129.00"
昌庭之家,2018-07-02,"豊島区, Tokyo, Japan",Private room in ryokan,Private room,
Moko,2018-07-03,"しぶやーく、, ときょ, Japan",Entire rental unit,Entire home/apt,"$22,114.00"
Kumina,2017-05-24,"Setagaya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$12,255.00"
Toshio,2014-02-07,,Private room in condo,Private room,"$13,389.00"
Toshio,2014-02-07,,Private room in condo,Private room,"$19,547.00"
Kumina,2017-05-24,"Setagaya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$13,110.00"
Kumina,2017-05-24,"Setagaya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$10,627.00"
Isa And Yumi,2018-06-08,"台東区, Tokyo, Japan",Private room in hut,Private room,"$20,422.00"
Kumina,2017-05-24,"Setagaya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$9,785.00"
昌庭之家,2018-07-02,"豊島区, Tokyo, Japan",Private room in ryokan,Private room,"$12,514.00"
Plays,2018-07-04,"Tokyo, 13, Japan",Entire rental unit,Entire home/apt,"$31,420.00"
さなえ,2018-07-04,"調布市, Tokyo, Japan",Entire home,Entire home/apt,"$40,000.00"
Miduki,2018-07-04,,Private room in home,Private room,"$4,865.00"
Shiqing,2018-07-03,"Kita-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$32,144.00"
Sora,2015-02-05,"墨田区, Tokyo, Japan",Entire rental unit,Entire home/apt,"$22,190.00"
Kumina,2017-05-24,"Setagaya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$7,790.00"
Kumina,2017-05-24,"Setagaya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$16,055.00"
Kumina,2017-05-24,"Setagaya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$16,055.00"
Kumina,2017-05-24,"Setagaya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$11,494.00"
Sakura Hotel Jimbocho,2018-01-27,"千代田区, Tokyo, Japan",Private room in bed and breakfast,Private room,
Kumina,2017-05-24,"Setagaya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$11,210.00"
Isa And Yumi,2018-06-08,,Private room in hut,Private room,"$21,676.00"
Satoshi,2018-02-23,,Private room in hostel,Private room,"$12,000.00"
Masami,2015-09-09,"Shibuya, Tokyo, Japan",Entire rental unit,Entire home/apt,"$37,050.00"
Liyan,2018-06-03,"北区, Kita City, Tokyo Prefecture, Japan",Private room in rental unit,Private room,"$7,840.00"
Liyan,2018-06-03,"北区, Kita City, Tokyo Prefecture, Japan",Private room in condo,Private room,"$8,610.00"
幸一郎,2018-07-06,"Shibuya, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$22,649.00"
Chiehyao,2018-07-09,"Nakano, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$17,507.00"
Nui.,2018-06-07,,Shared room in hostel,Shared room,
Chiehyao,2018-07-09,"Nakano-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$10,586.00"
Masa,2018-06-28,"港区, Tokyo, Japan",Entire rental unit,Entire home/apt,"$12,471.00"
Kagaribi,2018-06-19,"足立区千住柳町, Tokyo, Japan",Room in hostel,Hotel room,
Kagaribi,2018-06-19,"足立区千住柳町, Tokyo, Japan",Room in hostel,Hotel room,
Keibun,2018-07-02,"港区, Tokyo, Japan",Entire home,Entire home/apt,"$24,250.00"
Masa,2018-06-28,"港区, Tokyo, Japan",Entire rental unit,Entire home/apt,
Hajime,2017-11-16,"Shibuya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$27,648.00"
Masa,2017-11-16,"Shibuya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$38,800.00"
Liyan,2018-06-03,"Kita City, Tokyo Prefecture, Japan",Private room in condo,Private room,"$6,580.00"
Chiehyao,2018-07-09,"Nakano-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$10,586.00"
Tomohiro,2016-05-03,"shinagawa-ku, Tokyo Prefecture, Japan",Entire condo,Entire home/apt,"$26,986.00"
Yuki,2018-03-22,"Nakano-ku, Tōkyō-to, Japan",Room in aparthotel,Hotel room,"$33,250.00"
Yuki,2018-03-22,"Nakano-ku, Tōkyō-to, Japan",Room in aparthotel,Hotel room,"$31,350.00"
Isa And Yumi,2018-06-08,"台東区, Tokyo, Japan",Shared room in hut,Shared room,"$9,674.00"
Etsuki,2023-05-07,"Hachioji, Tokyo Prefecture, Japan",Private room in home,Private room,"$6,663.00"
Wen,2013-09-24,"Itabashi-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$35,700.00"
Keiko,2017-07-11,"Shinagawa-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$18,257.00"
昌庭之家,2018-07-02,"豊島区, Tokyo, Japan",Private room in ryokan,Private room,
昌庭之家,2018-07-02,"豊島区, Tokyo, Japan",Private room in ryokan,Private room,"$14,486.00"
Akari,2018-06-19,"Shinjuku-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$12,073.00"
Kumi,2018-07-12,"Meguro-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$52,571.00"
Jang,2017-02-08,"Shinjuku-ku, Tōkyō-to, Japan",Entire condo,Entire home/apt,"$26,286.00"
孟雲,2018-07-14,"Taitō, Tokyo Prefecture, Japan",Entire home,Entire home/apt,
Nini,2018-07-13,"Shinjuku-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$40,749.00"
Nini,2018-07-13,,Private room in rental unit,Private room,"$10,774.00"
Mitomi House,2015-05-23,"Shinjuku-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$15,000.00"
Jang,2017-02-08,"Shinjuku-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$25,286.00"
Takashi,2014-11-17,"Edogawa City, Tōkyō-to, Japan",Entire home,Entire home/apt,"$16,200.00"
Daigo,2018-06-10,"Sumida-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$16,286.00"
Maiko,2016-08-25,"Kōhoku Adachi-ku, Tōkyō-to, Japan",Private room in rental unit,Private room,"$6,175.00"
Kaen,2017-02-06,"Shinjuku-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$12,800.00"
柴田,2015-11-08,"Chūō-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$22,271.00"
柴田,2015-11-08,"Chūō-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$22,271.00"
柴田,2015-11-08,"Chūō-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$22,271.00"
柴田,2015-11-08,"Chūō-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$22,271.00"
柴田,2015-11-08,"Chūō-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$25,271.00"
Miduki,2018-07-04,,Private room in home,Private room,"$4,540.00"
Playsis East Tokyo,2018-06-19,"墨田区, Tokyo, Japan",Room in hotel,Private room,"$22,800.00"
Keita,2017-12-19,"Hino-shi, Tōkyō-to, Japan",Private room in home,Private room,"$4,000.00"
Keita,2017-12-19,"Hino-shi, Tōkyō-to, Japan",Private room in home,Private room,"$3,500.00"
柴田,2015-11-08,"Chūō-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,
